Assignment,Student Username,Draft,Submitted Date,Answer
Favorite Activity,cspencer,,9/1/2018,"When kids grow up they want to be movie stars, pop stars and even astronauts. They want to have huge familys, but I don’t. The first thing I want to do is go to college. I want to go to W.S.U., Washington State University, in Pullman, Wa. I want to get a business degree. The second thing I want to do is open my own dance studio. I’d be a teacher and my mother would run the front desk. I dance at Debbi’s Dance Etc. I have been for the last 5 ½ years. Some of my friends dance too, and we think it is so much fun. The third thing I want to do is to get married and have a family, 2 girls or 2 boys or even a boy and a girl having a family is what I want most. Going to college, having a job that I want and having a family are the things I want to do when I’m grown up."
Science Paper,cspencer,,10/1/2018,"Where does the horse shoe crab live? In the salt water ocean and the sandy sea shore of course. The tall grasses of the marshes help the crustacean hide from predators there. These invertebrates also live in the warm waters of the Asian- Mexican seashores, I’ll never forget the time when I went to Mystic Aquariam to touch a real live horseshoe crab in its manmade seashore habitat"
Journal Entry,cspencer,,11/1/2018,There was a girl named Lilly. Lilly was with her friends. Lilly and her friends went to an old shop. Lilly found a old book and her friends said to open it. And she opened it. The book started to light up and it sucked her in. Her friends just ran back home. Lilly fell in a batch of gummy worms.
Story,cspencer,,12/1/2018,"This alien named Sparkles loved space pineapples. But there where no more at the space store so she went to the other space store. She saw the space pineapple so she ran as fast as she can. But the space store closed. She begged and begged so he let her in. But there was only one space pineapple left and this other girl named Colors wanted the space pineapple too. So they had to space race and Sparkles had the power to stop people so Sparkles won. And finally, she got her space pineapple."
Journal Entry 2,cspencer,,2/1/2019,"I love zines and flyers as alternative modes of creation and distribution. They are fun to make and I think fun to encounter, and they circulate differently. I also like anyone can make a zine- the only gate- keeper is the photocopier."
Favorite Activity,dcity,,9/1/2018,"Don’t you love the cool warm sun? The melted icecream on a cone? Grabbing seashells on the beach? You can get this package anytime in the summer. I’m writing about my favorite season, summer. I love the hot sun at the beach. Where the water is warm and the sand is hot. When I surf the wind follows in My scalp I lick my salty lips as my pruny fingers touch the water. When I go to shore I lay on my towel as the sun tans my skin as if I were bread in a toaster, I then cool down my golden skin in the shallow part of the ocean. the hot sun at the beach is one reason summer is my favorite season. My mother and I go near the beach and try on funny hats. We go to this shop called Hats galore that have thousends of hats. We try on hats and send pictures to my dad. I stick out my tongn as my mom makes a fish face."
Science Paper,dcity,,10/1/2018,"Would you believe the many amazing facts about the spiky tailed creature? Can you believe that this seashore dweller lived 100 years before dinosaurs? Its relatives are the tick scorpion, and spider, animals my mom certaintly don’t want in her house. Amazingly, this invertebrate can lay 20,000 eggs at one time. Gladly it doesn’t need to take care of all these babies! You’ll be shocked to learn that this amazing seacreature can swim upside-down."
Journal Entry,dcity,,11/1/2018,My lunchtime is loud. Almost everybody in the lunchroom is making noise. We have very good food and nice cooks. We have 35 minutes to eat lunch. My lunchroom is big and has a lot of tables. We have milk and a salad bar for the teachers. That is what my lunchroom is about.
Story,dcity,,12/1/2018,"Ugh! That hideous, and nasty graffiti on that wall! How can anyone stand this horrible art. Just looking at it sends shivers down my spine. Somebody has to send some operation to clean this up! (They did but I’ll get more into that later) And even worse it’s on a valuable school! Man, this school sure needs help! This is why, I think students should be able to improve their schools from activities.  To start with, if students will be able to paint on the walls, (leasureart not graffiti) it can do many benefits for schools such as giving schools a better look. You can brighten up the plain old hallways. Give it that spark of imagination and creativity that’s inside of you! Make your school a place where people want to be and make that visit pleasurable! Secondly, morals can paint messages. Such as courage, perseverance, etc. This could lift students spirits when they are feeling down. This reminds me of the time I started the school. The hallways were so dull I couldn’t even stand the place. What I didn’t know is that for the first assignment of the school year we have to express ourself in a moral. The next day a bomb of color set off Boom! Every inch of the school was exploding with color. Now this takes me to Operation Clean Slate. This operation started by a man named Michael Howard. I was at the edge of my seat when I read that Michael Howard’s operation helped paint more than700 murals. In the text starting with a clean slate and a lot of paint. Now that’s a spark of imagination."
Journal Entry 2,dcity,,2/1/2019,"I think dogs are the best friends a kid could ever have! Dogs make great pets because they are good companions and they are helpful. However, they are a big responsibility to take care of.  Dogs are great companions. Many are loyal, and will not disobey their masters. For example, my dog, Casey, always listens to my stepfather. Puppies are energetic and very playful. They love kids, and they like to play with them. Dogs like to play games such as fetch or tug-of-war. Whenever people are lonely, they could get a dog. That way, they will have a cuddly friend to hang around with. Many  small dogs like to curl up in their owner’s lap and fall asleep. (Dogs are really nice companions.) Dogs are very helpful. They are used in many jobs because of their great sense of smell and hearing. Fire dogs help in fires. They save people by going through an entrance that is blocked by the fire and leading the person out. Sled dogs, such as Samoyeds, race other sleds to help their owner get to a place he or she wants to go to. You might think a musher says mush when they want to make the dogs run, but they really say, “Hike!” Another job is that dogs can help blind people get to places without another person. They are attached to a special leash, and if the person swims, they have to swim, also. That way the person doesn’t swim too far. Visiting dogs also have important jobs. They visit hospitals to make sick people happy."
Favorite Activity,eblack,,,
Science Paper,eblack,,,
Journal Entry,eblack,,11/1/2018,A is very different to B but they are the same in some ways. First way is size. A is smaller and B is bigger. A has less than one million people. B has two million. Second way is weather. Here is snow and cold. B is rainy and hot. A has four seasons but B has two seasons – dry and raining. A has museums at many palces but B has only two small museuems. A doesn’t have many trains but in B we see trains all of the time and they carry many people at everywhere. Those are the different and same stuff about A and B.
Story,eblack,,,
Journal Entry 2,eblack,,2/1/2019,"My lunchtime is loud, almost everybody in the lunchroom is making noise. We have very good food and nice cooks. We have 35 minutes to eat lunch. My lunch room is big and a salad bar for the teachers that is what my lunch room is about."
Favorite Activity,ggardner,,9/1/2018,"Rod floors, long trampolines, and big squshy mats, who wouldn’t want to be a part of that?! Cheerstation is a very special place to me. Never the less rod floors are the best! The rod floor is special to me because you get to do punch-fronts, round-off triple backhand-springs and round-off backhand-spring layouts.  Would you love to have buff coaches around you, because they can one man, give you tips, and spot on new skills. Last but not least, Tumbling. Do you love to do stuff like, standing tucks, toetouch backhand-spring and punch front round-off backhand-spring? Would you like to have buff coaches around? Do you love to tumble? Or maybe even have a couple of rod floors here and there? If so, Cheerstation is the place for you."
Science Paper,ggardner,,,
Journal Entry,ggardner,,,
Story,ggardner,,,
Journal Entry 2,ggardner,,,
Favorite Activity,jdunn,,,
Science Paper,jdunn,,,
Journal Entry,jdunn,,11/1/2018,"Do you like your job? Is it the one you wanted as a little kid? When I grow up I want to be a chef because I will be able to serve many kinds of food and desserts to people and I will meet other people each day. I would like to be a chef because you get to learn different types of ingredents for many pastries. A lot of chefs taste their cakes to see if its amazing for people to eat. I will be a chef to serve a lot of people with my delicous food. Manys chefs compete in compitions to see who has the best food. I’ve always dreamed of being a chef because they get to do things that surprise people. When I am a chef I will change the world with my best talent. I will make my own creations like cupcakes with two pounds of cream. Making new things like food and desserts make me feel explosive. I love to make little twist to my food so it can get better. To be a chef it can be amazing because you could make anything you want to like icecream, and hamburgers. I vow to keep on learning how to make more desserts to share with the people. Be who you are and don’t let anyone stand in your way."
Story,jdunn,,,
Journal Entry 2,jdunn,,,
Favorite Activity,jreid,,9/1/2018,"Do you like your job? Is it the one you wanted? When I grow up I want to be a chef because I will be able to learn how to cook because I will cook my food how I cook at home but it will taste different. When I become a chef my food will be better to eat. If I become a chef and know how to cook better I might get more comments about my food. When I am a chef I will get to try new seasoning because when I cook I have to taste the food. When I make the food I will make French food. When I go places I will eat their food and see if our food taste the same as theirs. Cooking is important to me because when people get hurngy they will have something to eat. As a chef, I vow to always serve people French food."
Science Paper,jreid,,,
Journal Entry,jreid,,11/1/2018,"People should learn about the resources at their local library, place book requests, make use of meeting space, check out books, read, read, and read. Ask your local library to clarify their patron privacy policies. Request books by people of color, LGBT authors, women, muslim, immigrants- so they know there’s demand."
Story,jreid,,12/1/2018,"White pearly-seashells, relaxing under the shade, and playing volleyball? It’s the beach we’re talking about! Shiny rainbows across the beautiful shells… of course you want the shell! First reason I love the beach is that there is many different types of shells. Imagine this, every single shell calling out your name, saying, “Take me home!” But you better hurry up and pick those shells because they can go back to the ocean just because of a little wave. Ahh… just relaxing under the palm tree, with a drink, and letting your toes getting wet in the water…now that’s relaxing. You can always relax at the beach, no matter what. Another way to relax is to close your eyes, hear the sounds and take a deep breath. S W O S H! B O O M! Volleyball is a great sport to play at the beach. You can run, jump, and even at the same time in volleyball! This is why I love the beach… just forget the sharks and jellyfishs… think of the positive things. Relaxing, volleyball, and best, collecting shells."
Journal Entry 2,jreid,,,
Favorite Activity,kred,,9/1/2018,"My knees are shaking because I’m nervous and I have to make a choice to go fishing. First get supplies, thana boat and Final Fish!! First I need to get supplies at the hardware store like: a fishing pole, string, and bait. Bait is like fare fish that attracts giant and tiny fish. It help trick fish into eating it, but fish have a choice to be or not to be tricked. That why some fish are getting extint. Next I need to find a boat. Nice! There are so many verities of colors: blue, green, orange, and gold. I like the blue one because it matches the water and looks camoflodge, so no fish will recognize it. It’ll give me an oppertanity to capture a fish without it swimming away. Finaly I get to fish. Wow! I got a bite! I ganked with all my strength and the fish plopped out of the water. It was a giant fish. A fish the size of a tire.I put it in my bucket and brought it out to compare it with a different fish.the first one was bigger than the other. I threw back the other and kept the first one. Man! I am sweating because I finaly made a choice. I’m also proud of myself because I acomplishe my goal."
Science Paper,kred,,10/1/2018,"When you want to play under the sprinkler, make sure the lawn is being watered. In the summer time people like to play under the sprinkler, but if the lawn is already wet, there is no point of it getting watered again. When the sprinkler is running, it should always be used for two purposes, fun and funktion."
Journal Entry,kred,,11/1/2018,"Ronald Reegan, the 40th president of the U.S. once said, “ We can’t help everyone, but we can help someone.” I think he was saying that caring for others is important, and I agree.  To begin with, caring for others is important because you would want others to care for you. For example, last week I was on the playground playing tag. I was running along and steeped on a sharp piece of glass. The glass sliced through my shoe and punctured my foot. “ Ouch!” I screamed. Just then my friend Kirby ran over, helped me up, and walked me to the nurses office. Now anytime I see someone else hurt, I think of how Kirby helped me. In conclusion, if you want others to help you, help them first. There’s always something you can do."
Story,kred,,12/1/2018,"Suddenly feeling a whip of semi-pain, is what Catwoman’s whip is all about. Riding on a not so sturdy rollercoaster can get crazy if you go on Thunderbolt. The rollercoaster was one of the first ones built at the park, feels like you are trapped in a wild thunderstorm. It is amazing that the waterpark is the favorite part of the amusement park to so many people. Like my brother says, “ You can never get enough of the worlds strangest element.” Being slashed around the wavepool is exciting to try and swim through. A delirious rain is no match for the sprinklers at Six Flags. Sitting in an inflated life preserver, and being engulfed by giant waterfalls, really gives you the feeling of a hurricane. Lastly, the tube slides will make you want to scram for your mother, when you lie inside the dark tunnel, and can’t see a thing, until you get to the end. As you can see, being at Six Flags New England, can be the 3 d’s: dangerous, delicious, and of course delirious. So get ready for the mouthwatering food, exciting rides, and refreshing water park."
Journal Entry 2,kred,,2/1/2019,My little brother pulled the towel out from under me and I fell face first in the sand. The hot gritty  sand tasted salty. I could hear Sam laughing and I was getting madder by the minute. Suddenly I felt something moveing by my cheek. When I wiped the sand off my face I saw a nest of sea turtle eggs. Baby sea turtles were hatching out of blue speckled eggs. The minute they hatched they ran right to the sea.
