Assignment,Student Username,Draft,Submitted Date,Answer
Journal 1,gnelson,,9/1/2018,I went to biye a hamster. I was so excited I wotoed to run. All the way there but I did’t wont to get run over I got a. Very nerves hamster but we bot her then at nite when my. Dad come home he sed was is that. Nays it is my hamster. I sedi my mom. Sedi pobely the pet this. Hamster was problem to her. I did’t want to ratem her. Because she was so soft and coddley. She felt like a little cotton ball.
Journal 2,gnelson,,10/1/2018,Thank-you for the money. My family game me a fishing set. We are going out west in the summer. There well ride the rapids. Thank-you for the valentine.
Journal 3,gnelson,,11/1/2018,This is about sports. I like sports because we could practice all day. My brother and chase like to play soccer. I thought soccer was boring. I like tennis more because I it’s like bating. You can hit the ball but if the ball falls down your team lost. The persons that hasn’t lost won the prise.
Journal 4,gnelson,,12/1/2018," Foxes live in many places. You can find them in a forest, Africa, or a desert. You would see a red fox in a forest. You would find a Africa fox in Africa or find a fox in the desert mainly sand dunes."
Journal 5,gnelson,,2/1/2019,"First, think this art image is about to people playing basketball. Next, I notice a Dad and mom driving a red threeweels cart. Last, I see to people gening the blue ball."
Journal 1,jmason,,9/1/2018,"When you go owling you don’t need words, or worm or anything, but hope. This is the book of Owl Moon. This book is written by Jane Yolen. I like that phrase Because The boy was happy becas he go to go owling and hes been wonted to go owling for a long time and he finally got to go. When other Kids are happy that makes me happy. I like it Because it makes me feel good Because you don’t haf’t to have words to go owling but you haf’t to have hope to see an owl."
Journal 2,jmason,,10/1/2018," Fish and humans are different from one another. For example, they live in different habittats. Fish live and humans live. Also, they have different body parts. A fish has scales and fins but humans have skin and arms."
Journal 3,jmason,,11/1/2018,"I like the winter. In winter I always have snowball wars. Snowball wars are so fun. I always win. I like the times when I get to go ice fishing with Mark. Ice fishing is really fun. After I’m done, I go home and drink hot cocoa. When I’m done I go outside and dig a snow tunnel. Winter is very fun. I like it."
Journal 4,jmason,,12/1/2018,In this book I compared animals. I compared a wolf. Because a wolf is like a fox. Their nocturnal and I also compared a coyote. Coyotes are also nocturnal.
Journal 5,jmason,,2/1/2019,"I learn about math, science, and spelling. In math I learn numbers. I learn about animals in science. Spelling is learning about new words."
Journal 1,jpowell,,9/1/2018,A cat is the best pet because they can sleep on your lap. A cat is the best because they are really fun. A cat can climb a tree good.
Journal 2,jpowell,,10/1/2018,Polar Bears have to stay warm in the cold Arctic. Polar Bears have a think layer of blubber below their skin. Blubber is a layer of fat that protects the bears. This is how polar bears stay warm.
Journal 3,jpowell,,11/1/2018,"You are a grate principal, however stations in the mornings are too short because this morning when I got to my locker they said you may clean up at your station and walk quietly to class thank you. So can you make stations longer?"
Journal 4,jpowell,,12/1/2018,What eats a fox? Well your goeing to find out a eagle would eat a fox. But eagle owls live in the desert. They probly wouldn’t find a artic fox or a red fox. A huena would eat a fox again lives in a desert. Or a eagle would eat a fox. It would eat any fox.
Journal 5,jpowell,,2/1/2018," In math I learn numbers. For example I know how to add, subtract, and skip count number. In math I learn about data table."
Journal 1,kwebster,,9/1/2018,"The best pet is a cat because they can play with yarn and you can cuddle with them. You can cuddle and sleep with them. They can chase mices and rates. Plans can be very strange. For example, the bamboo plant is very strange because it makes noie when it grows. It makes a popping sound because it grows so quickly. Bamboo can be a very strange plant."
Journal 2,kwebster,,10/1/2018,"We love to slide. However, we need more slides with tops. Because we have to stand in line all the time. It is annoying and wastes recess time! People might get into fights. Thank you for your time."
Journal 3,kwebster,,11/1/2018,"This is about my family and me. I have a brother named Carl hes in 4rd grade. He thinks my mike is his bike but I say that its my bike. I also have a sister named Renee she is in 6th grade. She likes dogs, cats, bunnyes, buterflys, birds, fishes, turtles. Renee has a friend his could Eric. My mom is sweet and preaty she takes care of me. She gives us food to eat. She reminds us of stuff. My dad also takes care of us. In the morning whene its time she takes us to wait for the bus. Some times he take us to the school. My dad some times he waits untele the bus comes. My dad some times takes us walking all the wai home untile the bus comes. My dad also is smart."
Journal 4,kwebster,,12/1/2018,"Ballerinas are graceful dancers that wear a skirt called a tutu. They dance on their tippy-toes in hard slipers called pointe shoes. Ballerinas perform their dance moves at a recitel.  Ballerinas put their feet in different positions like first, second, and third position."
Journal 5,kwebster,,2/1/2019,Gum is the best candy. Gun is sweet and comes in many flavors. Gum is a lot of fun. You can blow giant bubbles with it. Gum is the best candy because it lasts a long time. You can chew it all day!
